iter	Passed	Remaining
0	235	117681
1	294	73349
2	332	55063
3	373	46323
4	436	43197
5	466	38379
6	501	35312
7	537	33060
8	577	31530
9	619	30337
10	659	29333
11	703	28603
12	747	28000
13	777	26974
14	805	26049
15	842	25488
16	885	25152
17	928	24866
18	970	24572
19	1016	24394
20	1054	24045
21	1072	23312
22	1106	22957
23	1126	22343
24	1162	22092
25	1203	21945
26	1246	21830
27	1293	21807
28	1322	21485
29	1369	21452
30	1393	21087
31	1427	20875
32	1470	20815
33	1516	20778
34	1562	20755
35	1602	20648
36	1618	20251
37	1661	20196
38	1691	19994
39	1737	19982
40	1785	19989
41	1827	19925
42	1872	19904
43	1917	19870
44	1961	19831
45	1978	19523
46	2018	19456
47	2059	19389
48	2072	19077
49	2112	19016
50	2158	19003
51	2199	18951
52	2216	18691
53	2269	18744
54	2313	18720
55	2354	18668
56	2400	18653
57	2444	18628
58	2489	18611
59	2533	18581
60	2547	18336
61	2590	18297
62	2632	18258
63	2676	18232
64	2718	18192
65	2761	18159
66	2805	18129
67	2821	17923
68	2842	17757
69	2886	17732
70	2931	17713
71	2974	17683
72	3018	17658
73	3063	17637
74	3107	17609
75	3149	17570
76	3199	17576
77	3246	17564
78	3287	17518
79	3331	17492
80	3366	17412
81	3408	17372
82	3452	17343
83	3490	17285
84	3524	17209
85	3565	17162
86	3587	17031
87	3630	16997
88	3677	16981
89	3711	16909
90	3756	16882
91	3801	16860
92	3817	16706
93	3838	16581
94	3879	16539
95	3896	16396
96	3905	16225
97	3948	16197
98	3977	16110
99	4013	16054
100	4029	15917
101	4072	15891
102	4116	15864
103	4129	15724
104	4158	15642
105	4196	15597
106	4236	15561
107	4259	15461
108	4279	15350
109	4323	15328
110	4365	15298
111	4407	15269
112	4421	15143
113	4465	15118
114	4500	15066
115	4540	15029
116	4554	14908
117	4595	14878
118	4634	14837
119	4674	14802
120	4683	14670
121	4708	14587
122	4727	14488
123	4771	14468
124	4782	14348
125	4825	14322
126	4868	14298
127	4910	14271
128	4953	14245
129	5001	14233
130	5043	14206
131	5083	14172
132	5125	14143
133	5197	14196
134	5232	14147
135	5275	14118
136	5309	14067
137	5347	14026
138	5389	13996
139	5434	13973
140	5481	13955
141	5496	13858
142	5537	13823
143	5577	13789
144	5586	13677
145	5630	13651
146	5651	13571
147	5690	13534
148	5730	13500
149	5748	13413
150	5791	13386
151	5834	13357
152	5870	13314
153	5914	13288
154	5930	13200
155	5973	13173
156	5990	13087
157	6028	13050
158	6044	12962
159	6080	12920
160	6118	12883
161	6156	12846
162	6177	12772
163	6191	12684
164	6205	12600
165	6249	12573
166	6295	12553
167	6318	12485
168	6356	12450
169	6401	12426
170	6421	12354
171	6460	12320
172	6502	12291
173	6545	12262
174	6560	12183
175	6597	12145
176	6639	12115
177	6688	12099
178	6730	12069
179	6752	12004
180	6789	11965
181	6831	11936
182	6873	11905
183	6918	11881
184	6964	11858
185	7006	11828
186	7049	11800
187	7088	11763
188	7131	11734
189	7177	11710
190	7222	11684
191	7268	11659
192	7312	11632
193	7357	11604
194	7398	11572
195	7440	11540
196	7481	11507
197	7523	11475
198	7565	11443
199	7612	11418
200	7653	11384
201	7699	11357
202	7757	11349
203	7800	11318
204	7844	11288
205	7887	11257
206	7930	11224
207	7974	11194
208	8015	11160
209	8056	11125
210	8078	11064
211	8118	11028
212	8178	11019
213	8222	10988
214	8267	10959
215	8313	10930
216	8355	10896
217	8394	10859
218	8436	10824
219	8494	10810
220	8532	10772
221	8570	10732
222	8605	10689
223	8642	10648
224	8680	10608
225	8719	10571
